Player,Season,Team,GP,MP,O-PIPM,D-PIPM,PIPM,Wins Added
Nikola Vucevic,2014,ORL,57,"1,807.40",-0.12,1.03,0.9,4.1
Joe Johnson,2014,BRK,91,"3,035.80",1.4,-0.56,0.84,6.8
Brook Lopez,2014,BRK,17,531,0.73,0.1,0.83,1.2
Jeff Teague,2014,ATL,86,"2,779.10",0.23,0.6,0.83,6.2
Kenyon Martin,2014,NYK,32,630.8,-1.54,2.37,0.83,1.4
Michael Kidd-Gilchrist,2014,CHA,66,"1,592.10",-1.54,2.36,0.83,3.6
DeJuan Blair,2014,DAL,84,"1,291.50",-0.1,0.89,0.78,2.8
Amir Johnson,2014,TOR,84,"2,402.10",-0.21,0.95,0.75,5.2
Kevin Garnett,2014,BRK,66,"1,357.00",-2.35,3.08,0.73,2.9
Rudy Gobert,2014,UTA,45,434.5,-2.51,3.24,0.73,0.9
Zach Randolph,2014,MEM,85,"2,931.30",0.74,-0.01,0.73,6.3
Kosta Koufos,2014,MEM,86,"1,392.10",-0.93,1.63,0.7,3
Nene Hilario,2014,WAS,63,"1,880.40",-1.55,2.25,0.7,4
Nate Wolters,2014,MIL,58,"1,310.30",-0.24,0.9,0.66,2.8
Lance Stephenson,2014,IND,97,"3,453.30",-0.03,0.68,0.65,7.3
Mike Harris,2014,UTA,20,224,-0.62,1.27,0.65,0.5
Jared Sullinger,2014,BOS,74,"2,035.70",0.55,0.07,0.62,4.2
Michael Carter-Williams,2014,PHI,70,"2,409.00",0.4,0.21,0.6,5
Reggie Jackson,2014,OKC,99,"2,804.40",0.58,0.01,0.6,5.8
Wesley Matthews,2014,POR,93,"3,199.30",1.39,-0.81,0.58,6.5
Samuel Dalembert,2014,DAL,87,"1,744.30",-1.3,1.87,0.57,3.6
Xavier Henry,2014,LAL,43,905.3,-0.27,0.76,0.49,1.8
Jason Thompson,2014,SAC,82,"2,001.10",-0.88,1.37,0.48,4
Roy Hibbert,2014,IND,100,"2,944.70",-1.3,1.78,0.48,5.9
J.J. Redick,2014,LAC,48,"1,335.40",2.01,-1.53,0.47,2.6
Ryan Kelly,2014,LAL,59,"1,311.20",0.48,-0.03,0.45,2.6
Draymond Green,2014,GSW,89,"2,019.90",-1.49,1.93,0.44,4
Mike Dunleavy,2014,CHI,87,"2,738.50",-0.81,1.25,0.44,5.4
Ed Davis,2014,MEM,70,978.7,-0.82,1.22,0.4,1.9
Casper Ware,2014,PHI,9,115.5,0.08,0.31,0.39,0.2
Marc Gasol,2014,MEM,66,"2,262.60",-1.04,1.44,0.39,4.4
Shane Battier,2014,MIA,89,"1,662.20",-0.18,0.57,0.38,3.2
Tony Parker,2014,SAS,91,"2,709.30",0.77,-0.39,0.38,5.2
Raymond Felton,2014,NYK,65,"2,013.70",0.52,-0.15,0.37,3.8
Luol Deng,2014,TOT,63,"2,205.50",0.36,0,0.36,4.2
Terrence Jones,2014,HOU,82,"2,212.80",0.95,-0.59,0.36,4.2
Darrell Arthur,2014,DEN,68,"1,157.80",-2.03,2.36,0.33,2.2
Marvin Williams,2014,UTA,66,"1,669.80",0.78,-0.46,0.33,3.1
Phil Pressey,2014,BOS,75,"1,128.40",-0.29,0.62,0.32,2.1
