RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
230,"Ronny Turiaf, C",MIN,31,19.5,-4.1,2.72,-1.38,0.4
231,"Kyrie Irving, PG",CLE,71,35.2,1.98,-3.38,-1.4,1.5
232,"Terrence Jones, PF",HOU,76,27.3,0.49,-1.9,-1.41,1.2
233,"Jeff Adrien, SF",MIL/CHA,53,18.1,-0.99,-0.43,-1.42,0.6
234,"Wayne Ellington, SG",DAL,45,8.7,0.15,-1.58,-1.43,0.2
235,"Terrence Ross, SG",TOR,81,26.7,0.95,-2.38,-1.43,1.2
236,"Mike Miller, SG",MEM,82,20.8,1.59,-3.03,-1.44,0.9
237,"Anthony Morrow, SG",NO,76,18.8,0.34,-1.81,-1.47,0.8
238,"Toney Douglas, PG",GS/MIA,51,13.2,0.32,-1.8,-1.48,0.4
239,"Allen Crabbe, SG",POR,15,6.7,-0.44,-1.04,-1.48,0.1
240,"Rodney Stuckey, PG",DET,73,26.7,1.73,-3.24,-1.51,1
241,"Leandro Barbosa, SG",PHX,20,18.4,-0.32,-1.2,-1.52,0.2
242,"Gerald Green, SG",PHX,82,28.4,-0.43,-1.11,-1.54,1.2
243,"Solomon Hill, SF",IND,28,8.1,-0.71,-0.84,-1.55,0.1
244,"James Johnson, PF",MEM,52,18.4,-2.12,0.54,-1.58,0.4
245,"Garrett Temple, SG",WSH,75,8.5,-1.49,-0.13,-1.62,0.3
246,"Jason Collins, C",BKN,22,7.8,-3.59,1.93,-1.66,0.1
247,"Steve Blake, PG",GS/LAL,55,27.2,-1.31,-0.35,-1.66,0.7
248,"Kendall Marshall, PG",LAL,54,29,0.49,-2.16,-1.67,0.7
249,"Kris Humphries, PF",BOS,69,19.9,-2.32,0.64,-1.68,0.6
250,"Jose Calderon, PG",DAL,81,30.5,1.87,-3.56,-1.69,1
251,"Damion James, SF",SA,5,10,-2.48,0.78,-1.7,0
252,"Darren Collison, PG",LAC,80,25.9,1.51,-3.23,-1.72,0.8
253,"Miles Plumlee, C",PHX,80,24.6,-3.32,1.55,-1.77,0.7
254,"Jarvis Varnado, PF",CHI/PHI,24,14.1,-2.61,0.83,-1.78,0.1
255,"Casper Ware, PG",PHI,9,12.9,-0.84,-0.95,-1.79,0
256,"Quincy Miller, SF",DEN,52,15.2,-0.54,-1.26,-1.8,0.3
257,"Ian Clark, SG",UTAH,23,7.5,-1.67,-0.13,-1.8,0.1
258,"Spencer Hawes, PF",CLE/PHI,80,30.9,-2.24,0.39,-1.85,0.8
259,"Dwight Buycks, PG",TOR,14,10.4,-1.18,-0.67,-1.85,0
260,"DeJuan Blair, C",DAL,78,15.6,-2.09,0.2,-1.89,0.4
261,"Xavier Henry, SG",LAL,43,21.1,-1.92,0.03,-1.89,0.3
